Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
617000,край,Пермский,р-н,Нытвенский,г,Нытва,,,5901400100000,a49957ba-7860-484f-bf7a-abbbe1d76bab,4: город,1,57234501000,57634101001,5916,UTC+5,57.9337429,55.3357261,Приволжский,19041
618601,край,Пермский,р-н,Чердынский,г,Чердынь,,,5902700100000,242133ad-1c0f-43f0-9865-7b5f914a778f,4: город,1,57256501000,57656101001,5919,UTC+5,60.4011184,56.4801391,Приволжский,4920
181502,обл,Псковская,р-н,Печорский,г,Печоры,,,6001600100000,8cb44bcc-4e46-409a-972a-b99a59fcc7e9,4: город,1,58240501000,58640101001,6032,UTC+3,57.8146689,27.6222823,Северо-Западный,12308
181410,обл,Псковская,р-н,Пыталовский,г,Пыталово,,,6002100100000,8cfcdc08-f726-4aff-abfa-b20199b32172,4: город,1,58253501000,58653101001,6032,UTC+3,57.0637109,27.9234759,Северо-Западный,5826
346350,обл,Ростовская,р-н,Красносулинский,г,Красный Сулин,,,6101900100000,687f3695-dcc4-4591-b8b9-a316f46a459a,4: город,1,60226501000,60626101001,6191,UTC+3,47.8830826,40.0781385,Южный,40866
346500,обл,Ростовская,,,г,Шахты,,,6100001200000,dee2e80e-f2e1-4a68-93b0-b7b89b6f3e74,4: город,0,60440000000,60740000001,6182,UTC+3,47.7084247,40.2159154,Южный,240152
391110,обл,Рязанская,р-н,Рыбновский,г,Рыбное,,,6201400100000,91d71d8c-2f1a-43c8-bc84-d78dc4245a1b,4: город,1,61227501000,61627101001,6200,UTC+3,54.7255937,39.513438,Центральный,18378
446200,обл,Самарская,,,г,Новокуйбышевск,,,6300000300000,cda74a83-ae08-4ba2-b01c-c6fc373222cb,4: город,0,36413000000,36713000001,6330,UTC+4,53.0995303,49.9477662,Приволжский,108449
446300,обл,Самарская,,,г,Отрадный,,,6300000500000,05edd5aa-ab64-4afa-b56c-fd5661a14129,4: город,0,36424000000,36724000,6372,UTC+4,53.3800609,51.3438695,Приволжский,47709
446000,обл,Самарская,,,г,Сызрань,,,6300000800000,e9e684ce-7d60-4480-ba14-ca6da658188b,4: город,0,36435000000,36735000,6325,UTC+4,53.1557213,48.4745419,Приволжский,178773
413230,обл,Саратовская,р-н,Краснокутский,г,Красный Кут,,,6401800100000,94ff279a-6567-4ac1-8001-42d8fd89605e,4: город,1,63223501000,63623101,6413,UTC+4,50.9596867,46.9712472,Приволжский,14420
412780,обл,Саратовская,,,г,Хвалынск,,,6400001200000,ac586a68-2f14-403e-9ce0-46c01832652d,4: город,0,63445000000,63649101,6441,UTC+4,52.4950057,48.1045147,Приволжский,13199
412950,обл,Саратовская,,,г,Шиханы,,,6400000200000,6c6b065e-9f1c-4afd-ac61-ff8338972818,4: город,0,63545000000,63746000,6441,UTC+4,52.1148241,47.2022928,Приволжский,6067
624090,обл,Свердловская,,,г,Верхняя Пышма,,,6600000400000,061cd8e0-b7bd-4a31-944e-a6e3da93631d,4: город,0,65420000000,65732000,6686,UTC+5,56.9757833,60.564885,Уральский,58707
624250,обл,Свердловская,,,г,Заречный,,,6600000500000,8018ae42-55a5-4297-a126-b482aee0b634,4: город,0,65426000000,65737000,6683,UTC+5,56.8103345,61.3380592,Уральский,26803
624860,обл,Свердловская,,,г,Камышлов,,,6600003000000,ac2abd40-bb9b-41df-abd8-a319afd88f00,4: город,0,65440000000,65741000,6633,UTC+5,56.8465469,62.7120432,Уральский,26875
624021,обл,Свердловская,р-н,Сысертский,г,Сысерть,,,6602500100000,93fdb310-5e08-43ee-aabe-42e39a950928,4: город,1,65241501000,65722000001,6685,UTC+5,56.50052,60.8190708,Уральский,20594
215279,обл,Смоленская,р-н,Сычевский,г,Сычевка,,,6701900100000,b3522b83-3f83-4145-892f-5767415d82d3,4: город,1,66246501000,66646101001,6722,UTC+3,55.8307397,34.277868,Центральный,8111
356420,край,Ставропольский,р-н,Благодарненский,г,Благодарный,,,2600600100000,0e527607-a1cd-462c-9b85-f33ddea64ad0,4: город,1,07210501000,07610101,2646,UTC+3,45.0990834,43.4307042,Северо-Кавказский,32736
356140,край,Ставропольский,р-н,Изобильненский,г,Изобильный,,,2601000100000,82d67979-76e6-4c48-b5b0-18c0b969114c,4: город,1,07220501000,07620101,2644,UTC+3,45.3684342,41.7086448,Северо-Кавказский,40546
357200,край,Ставропольский,р-н,Минераловодский,г,Минеральные Воды,,,2601700200000,0be84f75-bbb5-4471-9d0c-dfa932f5df7d,4: город,1,07421000000,07721000001,2649,UTC+3,44.2088942,43.1383482,Северо-Кавказский,76715
